=====================================================================================
🧠 SMC BTC HYPERPARAMETER ERGEBNISSE | Sortiert nach Profit
=====================================================================================
SL %     | EMA   | R:R    | Trades | Win Rate  | Max DD  | Netto PnL   
-------------------------------------------------------------------------------------
 0.40%  | 21    | 1.25   | 20     |  70.00 % |  1.26% | $+10,538.42
 0.40%  | 21    | 1.15   | 25     |  68.00 % |  1.88% | $+10,462.51
 0.50%  | 21    | 0.90   | 26     |  69.23 % |  2.05% | $+10,440.77
 0.40%  | 21    | 1.50   | 15     |  73.33 % |  1.13% | $+10,268.80
 0.40%  | 21    | 1.00   | 28     |  64.29 % |  1.89% | $+10,059.90
 0.40%  | 21    | 0.90   | 32     |  62.50 % |  1.88% | $+9,881.35
 0.50%  | 21    | 1.25   | 15     |  73.33 % |  1.23% | $+9,868.08
 0.50%  | 29    | 0.90   | 27     |  66.67 % |  1.44% | $+9,777.63
 0.50%  | 33    | 0.90   | 29     |  65.52 % |  1.44% | $+9,710.43
 0.40%  | 33    | 1.00   | 31     |  61.29 % |  1.26% | $+9,529.54
 0.40%  | 29    | 1.00   | 29     |  62.07 % |  1.26% | $+9,496.76
 0.50%  | 21    | 1.15   | 19     |  68.42 % |  1.45% | $+9,494.80
 0.40%  | 29    | 1.25   | 21     |  66.67 % |  1.71% | $+9,481.41
 0.40%  | 33    | 0.90   | 35     |  60.00 % |  1.77% | $+9,352.48
 0.40%  | 29    | 0.90   | 33     |  60.61 % |  1.77% | $+9,319.69
 0.50%  | 21    | 1.00   | 24     |  66.67 % |  2.08% | $+9,223.93
 0.40%  | 29    | 1.50   | 16     |  68.75 % |  1.14% | $+9,211.78
 0.40%  | 33    | 1.50   | 16     |  68.75 % |  1.14% | $+9,211.78
 0.75%  | 21    | 1.00   | 13     |  76.92 % |  1.47% | $+9,193.01
 0.40%  | 33    | 1.25   | 22     |  63.64 % |  1.72% | $+8,987.53
 0.40%  | 15    | 1.50   | 16     |  68.75 % |  1.65% | $+8,981.67
 0.40%  | 12    | 1.50   | 16     |  68.75 % |  1.65% | $+8,935.48
 0.40%  | 33    | 1.15   | 27     |  62.96 % |  1.91% | $+8,911.61
 0.40%  | 29    | 1.15   | 25     |  64.00 % |  1.91% | $+8,878.82
 0.40%  | 25    | 1.25   | 20     |  65.00 % |  1.71% | $+8,819.54
 0.40%  | 25    | 1.15   | 25     |  64.00 % |  1.91% | $+8,743.62
 0.50%  | 29    | 1.25   | 16     |  68.75 % |  1.24% | $+8,711.07
 0.50%  | 33    | 1.25   | 16     |  68.75 % |  1.24% | $+8,711.07
 0.40%  | 15    | 1.25   | 20     |  65.00 % |  1.85% | $+8,676.23
 0.50%  | 25    | 0.90   | 26     |  65.38 % |  2.09% | $+8,621.89
 0.40%  | 15    | 1.15   | 25     |  64.00 % |  1.88% | $+8,600.31
 0.50%  | 29    | 1.00   | 25     |  64.00 % |  2.00% | $+8,560.78
 0.40%  | 25    | 1.50   | 15     |  66.67 % |  1.15% | $+8,549.91
 0.50%  | 33    | 1.00   | 27     |  62.96 % |  1.51% | $+8,493.58
 0.50%  | 15    | 1.25   | 16     |  68.75 % |  1.83% | $+8,481.82
 0.50%  | 12    | 1.25   | 16     |  68.75 % |  1.83% | $+8,435.63
 0.40%  | 25    | 1.00   | 28     |  60.71 % |  1.92% | $+8,341.02
 0.50%  | 29    | 1.15   | 20     |  65.00 % |  1.99% | $+8,337.79
 0.40%  | 12    | 1.25   | 19     |  63.16 % |  1.86% | $+8,186.59
 0.50%  | 25    | 1.25   | 15     |  66.67 % |  1.41% | $+8,049.20
 0.75%  | 25    | 1.00   | 12     |  75.00 % |  1.48% | $+7,954.13
 0.75%  | 29    | 1.00   | 12     |  75.00 % |  1.48% | $+7,954.13
 0.75%  | 33    | 1.00   | 12     |  75.00 % |  1.48% | $+7,954.13
 0.50%  | 33    | 1.15   | 21     |  61.90 % |  2.00% | $+7,743.92
 0.50%  | 15    | 0.90   | 25     |  64.00 % |  2.32% | $+7,701.72
 0.75%  | 21    | 0.90   | 16     |  68.75 % |  1.93% | $+7,693.10
 0.50%  | 25    | 1.15   | 19     |  63.16 % |  1.99% | $+7,675.92
 0.40%  | 12    | 1.15   | 23     |  60.87 % |  1.90% | $+7,671.56
