===========================================================================
📊 SMC MASS BACKTEST | Margin: $1,000 | SL: 0.4%
===========================================================================
Coin            | Trades   | Win Rate   | Max DD   | Netto PnL   
---------------------------------------------------------------------------
BTCUSDT         | 15       | 73.33 %   |  1.13 % | $+10,268.80
ETHUSDT         | 10       | 20.00 %   |  4.44 % | $-3,290.36
BCHUSDT         | 13       |  7.69 %   |  7.12 % | $-7,118.49
XRPUSDT         | 7        | 28.57 %   |  2.85 % | $-1,889.01
LTCUSDT         | 8        | 12.50 %   |  2.94 % | $-2,149.26
TRXUSDT         | 12       | 25.00 %   |  4.31 % | $-2,708.59
ETCUSDT         | 11       | 36.36 %   |  3.40 % | $+5,326.28
LINKUSDT        | 9        | 22.22 %   |  3.92 % | $-150.94
XLMUSDT         | 8        | 37.50 %   |  5.05 % | $-773.53
ADAUSDT         | 10       | 40.00 %   |  1.64 % | $+1,400.82
XMRUSDT         | 7        | 57.14 %   |  2.40 % | $+5,695.91
DASHUSDT        | 13       | 30.77 %   |  3.16 % | $+2,620.81
ZECUSDT         | 8        | 37.50 %   |  2.32 % | $+13,312.75
XTZUSDT         | 4        |  0.00 %   |  4.70 % | $-4,703.52
BNBUSDT         | 17       | 41.18 %   |  4.51 % | $-385.90
ATOMUSDT        | 11       | 27.27 %   |  6.23 % | $+5,210.46
ONTUSDT         | 16       | 31.25 %   |  4.34 % | $-206.16
IOTAUSDT        | 10       | 30.00 %   |  3.05 % | $+3,075.55
BATUSDT         | 12       | 33.33 %   |  3.07 % | $+1,809.00
VETUSDT         | 11       | 36.36 %   |  3.48 % | $+1,561.81
NEOUSDT         | 16       | 12.50 %   | 10.33 % | $-7,821.53
QTUMUSDT        | 11       | 18.18 %   |  6.55 % | $-5,279.60
IOSTUSDT        | 12       | 41.67 %   |  1.93 % | $+4,879.70
THETAUSDT       | 14       | 14.29 %   |  7.82 % | $-7,823.71
ALGOUSDT        | 6        | 33.33 %   |  1.61 % | $+227.76
ZILUSDT         | 16       | 37.50 %   |  4.33 % | $+7,502.84
KNCUSDT         | 11       |  9.09 %   |  5.91 % | $-5,843.98
ZRXUSDT         | 8        | 12.50 %   |  4.52 % | $-4,248.85
COMPUSDT        | 6        | 33.33 %   |  4.02 % | $-939.09
DOGEUSDT        | 6        | 16.67 %   |  3.48 % | $-2,053.22
KAVAUSDT        | 9        | 55.56 %   |  2.72 % | $+5,238.55
BANDUSDT        | 11       |  9.09 %   |  9.22 % | $-8,909.94
RLCUSDT         | 6        | 50.00 %   |  1.11 % | $+2,520.67
SNXUSDT         | 10       | 20.00 %   |  8.12 % | $-6,486.23
