=====================================================================================
🏛️ QM MASS-BACKTEST ERGEBNISSE | Margin: $5,000
=====================================================================================
Coin         | TF    | Trades   | Win Rate   | Max DD   | Netto PnL   
-------------------------------------------------------------------------------------
BTCUSDT      | 1h    | 75       | 37.33 %   | 10.31 % | $+18,980.58
BTCUSDT      | 4h    | 18       | 50.00 %   |  4.05 % | $+24,448.53
ETHUSDT      | 1h    | 59       | 40.68 %   | 10.28 % | $+35,463.94
ETHUSDT      | 4h    | 10       | 50.00 %   |  5.78 % | $+21,395.83
BCHUSDT      | 1h    | 70       | 32.86 %   | 13.60 % | $+20,247.20
BCHUSDT      | 4h    | 15       | 26.67 %   | 10.09 % | $-4,029.97
XRPUSDT      | 1h    | 61       | 31.15 %   | 23.39 % | $-3,799.08
XRPUSDT      | 4h    | 15       | 53.33 %   | 12.47 % | $+32,991.30
LTCUSDT      | 1h    | 71       | 33.80 %   | 22.47 % | $-226.27
LTCUSDT      | 4h    | 19       | 36.84 %   | 13.66 % | $+16,364.87
TRXUSDT      | 1h    | 72       | 29.17 %   | 11.64 % | $-9,187.55
TRXUSDT      | 4h    | 11       | 63.64 %   |  2.24 % | $+13,512.89
ETCUSDT      | 1h    | 69       | 34.78 %   | 16.57 % | $+31,677.20
ETCUSDT      | 4h    | 13       | 30.77 %   | 20.16 % | $-5,349.04
LINKUSDT     | 1h    | 60       | 41.67 %   |  9.24 % | $+19,620.45
LINKUSDT     | 4h    | 12       | 25.00 %   | 12.23 % | $-387.68
XLMUSDT      | 1h    | 71       | 28.17 %   | 12.96 % | $+16,138.04
XLMUSDT      | 4h    | 12       | 41.67 %   | 16.47 % | $+5,722.50
ADAUSDT      | 1h    | 65       | 32.31 %   | 10.46 % | $+20,252.68
ADAUSDT      | 4h    | 12       | 33.33 %   | 10.66 % | $+10,701.56
XMRUSDT      | 1h    | 77       | 24.68 %   | 35.73 % | $-10,117.06
XMRUSDT      | 4h    | 11       | 45.45 %   | 16.31 % | $+6,577.65
DASHUSDT     | 1h    | 61       | 24.59 %   | 25.42 % | $-5,215.42
DASHUSDT     | 4h    | 15       | 26.67 %   | 20.09 % | $-9,148.30
ZECUSDT      | 1h    | 65       | 29.23 %   | 65.17 % | $-36,499.71
ZECUSDT      | 4h    | 9        | 11.11 %   | 36.16 % | $-36,161.52
XTZUSDT      | 1h    | 40       | 32.50 %   | 21.44 % | $+3,046.52
XTZUSDT      | 4h    | 12       | 25.00 %   | 28.23 % | $-19,728.03
BNBUSDT      | 1h    | 71       | 19.72 %   | 32.51 % | $-30,680.18
BNBUSDT      | 4h    | 18       | 22.22 %   | 60.72 % | $-47,116.70
ATOMUSDT     | 1h    | 65       | 23.08 %   | 27.30 % | $-2,818.84
ATOMUSDT     | 4h    | 14       | 57.14 %   |  2.74 % | $+51,850.94
ONTUSDT      | 1h    | 47       | 29.79 %   | 28.66 % | $-22,251.02
ONTUSDT      | 4h    | 17       | 41.18 %   |  7.54 % | $+39,561.57
IOTAUSDT     | 1h    | 43       | 41.86 %   |  8.63 % | $+56,106.33
IOTAUSDT     | 4h    | 10       | 20.00 %   | 19.67 % | $-14,016.20
BATUSDT      | 1h    | 58       | 29.31 %   | 12.58 % | $+57,325.24
BATUSDT      | 4h    | 16       | 18.75 %   | 35.49 % | $-18,801.96
VETUSDT      | 1h    | 63       | 39.68 %   |  7.65 % | $+58,937.88
VETUSDT      | 4h    | 8        | 25.00 %   | 17.93 % | $-11,723.15
NEOUSDT      | 1h    | 53       | 26.42 %   | 19.13 % | $-12,982.08
NEOUSDT      | 4h    | 12       | 58.33 %   |  8.55 % | $+15,634.75
QTUMUSDT     | 1h    | 60       | 21.67 %   | 41.12 % | $-33,000.67
QTUMUSDT     | 4h    | 10       | 30.00 %   | 18.15 % | $-8,956.58
IOSTUSDT     | 1h    | 57       | 35.09 %   | 12.23 % | $+32,028.60
IOSTUSDT     | 4h    | 15       | 40.00 %   |  7.11 % | $+16,516.64
THETAUSDT    | 1h    | 62       | 32.26 %   | 16.18 % | $+24,913.38
THETAUSDT    | 4h    | 8        | 75.00 %   |  1.58 % | $+47,712.44
ALGOUSDT     | 1h    | 50       | 36.00 %   |  9.18 % | $+22,245.77
ALGOUSDT     | 4h    | 12       | 33.33 %   |  9.79 % | $+10,737.58
ZILUSDT      | 1h    | 56       | 26.79 %   | 41.35 % | $-11,425.83
ZILUSDT      | 4h    | 12       | 50.00 %   | 11.08 % | $+29,135.27
KNCUSDT      | 1h    | 62       | 41.94 %   |  6.67 % | $+36,791.16
KNCUSDT      | 4h    | 17       | 41.18 %   | 10.91 % | $+39,365.76
