    model direction     n  wr_pct  mean_pct  sd_pct
     ABR1      LONG    62    48.4     5.286  18.380
 MIS2-24H     SHORT    69    68.1     4.357  12.804
 MIS1-24H      LONG   221    31.7     4.054  25.543
     EPD1     SHORT  4633    60.1     3.527  12.317
 MIS2-72H     SHORT    57    54.4     3.226  14.315
     RUB1      LONG  1127    36.4     3.015  17.944
  MIS1-8H     SHORT   400    45.8     2.893  16.274
     UFI1     SHORT    56    44.6     2.728  40.937
 MIS1-72H     SHORT   312    44.9     2.455  17.901
MIS1-168H     SHORT   106    44.3     2.285  21.978
    TD_1H      LONG  1408    39.9     1.658  10.702
    BB_1H      LONG  1772    39.0     1.590  10.997
 MIS1-72H      LONG 12203    44.0     1.564  11.389
     ABR1     SHORT    55    45.5     1.508  10.065
    TD_4H     SHORT   275    43.3     1.453  10.888
    TD_4H      LONG   420    35.5     1.419  10.539
     BR1H      LONG  3703    41.1     1.368   9.255
     EPD1      LONG   701    36.4     1.316  20.912
    BB_4H      LONG  1305    40.3     1.277   8.215
     BR4H      LONG   968    42.3     1.271   8.604
 MIS1-24H     SHORT   245    42.4     1.257  17.025
     AIM1      LONG   938    34.5     1.243  20.255
MIS1-168H      LONG  7550    39.4     1.222  10.945
    QM_4H      LONG   155    38.1     1.151   8.222
     AIM2     SHORT  1092    41.3     1.146   8.908
     RUB1     SHORT  1539    42.3     1.105  15.793
     SRA2     SHORT   211    64.0     1.093   3.799
     SRA2      LONG   312    59.3     0.974   4.250
     ATS1      LONG  1774    45.2     0.889  13.832
     ATS1     SHORT   845    47.3     0.792  13.423
     BR2H      LONG  2213    38.1     0.769   8.064
  MIS2-8H     SHORT    76    47.4     0.745   7.424
     MAX1     SHORT   128    60.9     0.738   3.330
     SRA1      LONG   371    52.8     0.680   6.148
     RUB2     SHORT   237    54.4     0.619   4.926
    TD_1H     SHORT  1112    37.1     0.492  10.161
     BR1D      LONG   141    34.0     0.457  11.293
     ROM1     SHORT  5259    46.5 
